      R        PHI    THETA2   THETA1       E_CP
    2.9000   30.0000   90.0000   150.0000   -76.966873647813
    2.9000   30.0000   90.0000   180.0000   -76.966943734898
    2.9000   60.0000   0.0000   0.0000   -76.965086390961
    2.9000   60.0000   0.0000   30.0000   -76.965384504628
    2.9000   60.0000   0.0000   60.0000   -76.966246552713
    2.9000   60.0000   0.0000   90.0000   -76.966905865889
    2.9000   60.0000   0.0000   120.0000   -76.966246567819
    2.9000   60.0000   0.0000   150.0000   -76.965384504628
    2.9000   60.0000   0.0000   180.0000   -76.965086390962
    2.9000   60.0000   30.0000   0.0000   -76.965561638031
    2.9000   60.0000   30.0000   30.0000   -76.966041997024
    2.9000   60.0000   30.0000   60.0000   -76.966486414416
    2.9000   60.0000   30.0000   90.0000   -76.966763882417
    2.9000   60.0000   30.0000   120.0000   -76.966027645188
    2.9000   60.0000   30.0000   150.0000   -76.965497526485
    2.9000   60.0000   30.0000   180.0000   -76.965561638031
