      R       THETA       E_CP
    4.5000   80.0000   -78.706792887168
    4.5000   85.0000   -78.706792506425
    4.5000   90.0000   -78.706792381989
    4.6000   0.0000   -78.706809910612
    4.6000   5.0000   -78.706809390710
    4.6000   10.0000   -78.706808006925
    4.6000   15.0000   -78.706806166717
    4.6000   20.0000   -78.706802920185
    4.6000   25.0000   -78.706802488727
    4.6000   30.0000   -78.706800857264
    4.6000   35.0000   -78.706799290397
    4.6000   40.0000   -78.706797728271
    4.6000   45.0000   -78.706796163863
    4.6000   50.0000   -78.706794628985
    4.6000   55.0000   -78.706793178097
    4.6000   60.0000   -78.706791816551
    4.6000   65.0000   -78.706790595635
    4.6000   70.0000   -78.706789556918
    4.6000   75.0000   -78.706788737667
    4.6000   80.0000   -78.706788157879
    4.6000   85.0000   -78.706787816923
    4.6000   90.0000   -78.706787705322
    4.7000   0.0000   -78.706802476513
    4.7000   5.0000   -78.706802077512
    4.7000   10.0000   -78.706801005610
    4.7000   15.0000   -78.706799553293
    4.7000   20.0000   -78.706798008308
    4.7000   25.0000   -78.706796528315
    4.7000   30.0000   -78.706795133723
    4.7000   35.0000   -78.706793777131
    4.7000   40.0000   -78.706792416278
    4.7000   45.0000   -78.706791061787
    4.7000   50.0000   -78.706789709044
    4.7000   55.0000   -78.706788409344
    4.7000   60.0000   -78.706787198692
    4.7000   65.0000   -78.706786113596
    4.7000   70.0000   -78.706785192333
    4.7000   75.0000   -78.706784465878
    4.7000   80.0000   -78.706783949804
    4.7000   85.0000   -78.706783644701
    4.7000   90.0000   -78.706783544553
    4.8000   0.0000   -78.706795872335
    4.8000   5.0000   -78.706795571950
    4.8000   10.0000   -78.706794757582
    4.8000   15.0000   -78.706793632287
    4.8000   20.0000   -78.706792401921
    4.8000   25.0000   -78.706791186282
    4.8000   30.0000   -78.706790009875
    4.8000   35.0000   -78.706788845649
    4.8000   40.0000   -78.706787682161
    4.8000   45.0000   -78.706786487955
    4.8000   50.0000   -78.706785302875
    4.8000   55.0000   -78.706784160278
    4.8000   60.0000   -78.706783095136
    4.8000   65.0000   -78.706782141884
    4.8000   70.0000   -78.706781332976
    4.8000   75.0000   -78.706780692906
    4.8000   80.0000   -78.706780235326
    4.8000   85.0000   -78.706779962802
    4.8000   90.0000   -78.706779872889
    4.9000   0.0000   -78.706790118093
    4.9000   5.0000   -78.706789895049
