R,theta,E_cm
15.0,45.0,-0.006018212787211468
16.0,45.0,-0.004066207332767533
17.0,45.0,-0.002813227170716601
18.0,45.0,-0.001987561166162806
19.0,45.0,-0.0014300975091641988
20.0,45.0,-0.0010460147306262967
21.0,45.0,-0.0007767207603428972
22.0,45.0,-0.0005831448614102896
23.0,45.0,-0.00044355750369291514
24.0,45.0,-0.00034018706917549935
25.0,45.0,-0.00026402922981134225
50.0,45.0,6.584044512152332e-06
100.0,45.0,0.0
2.5,50.0,1356.096528162012
2.6,50.0,950.1635261241488
2.7,50.0,653.4153957621919
2.8,50.0,440.67080209734917
2.9,50.0,289.77311051857686
3.0,50.0,183.65076412508688
3.1,50.0,111.37615642221839
3.2,50.0,63.53097942418308
3.3,50.0,31.64631794969399
3.4,50.0,10.66488021638123
3.5,50.0,-2.0978396918397824
3.6,50.0,-10.4503095273822
3.7,50.0,-13.970127101301177
3.8,50.0,-15.888056635320916
3.9,50.0,-16.22459047363634
4.0,50.0,-15.75192903237019
4.1,50.0,-14.819079773433884
4.2,50.0,-13.654496465905277
4.3,50.0,-12.404328592229517
4.4,50.0,-11.158864056170225
4.5,50.0,-9.971089307991674
4.6,50.0,-8.86946822631556
4.7,50.0,-7.87064818250398
4.8,50.0,-6.969289581954947
4.9,50.0,-6.166373908901237
5.0,50.0,-5.4556347311418545
5.1,50.0,-4.829255452942224
5.2,50.0,-4.278850172363632
5.3,50.0,-3.795989525288171
5.4,50.0,-3.3726359122815555
5.5,50.0,-3.0014051106583226
5.6,50.0,-2.6756705213334526
5.7,50.0,-2.389581611008631
5.8,50.0,-2.1379897223727187
5.9,50.0,-1.9164250346243412
6.0,50.0,-1.7209905575482143
6.2,50.0,-1.3954932215070937
6.4,50.0,-1.1396220158304902
6.6,50.0,-0.9370159860088099
6.8,50.0,-0.775411549134655
7.0,50.0,-0.6455892339162058
7.2,50.0,-0.5405778658758992
7.4,50.0,-0.45507801277137516
7.6,50.0,-0.38503246536006885
7.8,50.0,-0.32731261107047305
8.0,50.0,-0.27948777411966746
8.2,50.0,-0.23965729898634322
8.4,50.0,-0.2063226122270565
