R	phi	theta2	theta1	E
2.80	0	60	120	-152.363155458141
2.80	0	60	150	-152.327000910901
2.80	0	60	180	-152.147080551786
2.80	0	90	0	-152.289133610993
2.80	0	90	30	-152.341018395651
2.80	0	90	60	-152.364862597093
2.80	0	90	90	-152.261055748195
2.80	0	90	120	-152.364862596627
2.80	0	90	150	-152.341018395703
2.80	0	90	180	-152.289133610813
2.80	30	0	0	-150.973809094255
2.80	30	0	30	-152.315133453868
2.80	30	0	60	-152.363127636922
2.80	30	0	90	-152.259301403433
2.80	30	0	120	-152.3631276366
2.80	30	0	150	-152.315133453247
2.80	30	0	180	-150.973809094898
2.80	30	30	0	-151.593907081288
2.80	30	30	30	-152.329685704401
2.80	30	30	60	-152.36464001896
2.80	30	30	90	-152.259754449739
2.80	30	30	120	-152.362550069044
2.80	30	30	150	-152.312464951314
2.80	30	30	180	-151.593907081821
2.80	30	60	0	-152.147080550917
2.80	30	60	30	-152.339767442552
2.80	30	60	60	-152.365603806815
2.80	30	60	90	-152.260531557527
2.80	30	60	120	-152.363664091153
2.80	30	60	150	-152.327864130845
2.80	30	60	180	-152.147080551785
2.80	30	90	0	-152.289133610993
2.80	30	90	30	-152.339863861027
2.80	30	90	60	-152.365188624404
2.80	30	90	90	-152.260865478527
2.80	30	90	120	-152.36518862423
2.80	30	90	150	-152.339863859271
2.80	30	90	180	-152.289133610813
2.80	60	0	0	-150.973809094254
2.80	60	0	30	-152.315132558656
2.80	60	0	60	-152.363122918252
2.80	60	0	90	-152.259344700679
2.80	60	0	120	-152.363122917548
2.80	60	0	150	-152.315132559283
2.80	60	0	180	-150.973809094898
2.80	60	30	0	-151.593907081288
2.80	60	30	30	-152.326225115409
2.80	60	30	60	-152.364391459974
2.80	60	30	90	-152.259704333129
2.80	60	30	120	-152.363230066426
2.80	60	30	150	-152.316265971398
2.80	60	30	180	-151.593907081822
2.80	60	60	0	-152.147080550917
2.80	60	60	30	-152.336216787785
2.80	60	60	60	-152.36562710862
2.80	60	60	90	-152.26032907152
2.80	60	60	120	-152.364609025334
2.80	60	60	150	-152.328889719416
2.80	60	60	180	-152.147080551785
2.80	60	90	0	-152.289133610994
2.80	60	90	30	-152.337401614643
2.80	60	90	60	-152.365733594987
2.80	60	90	90	-152.260594635053
2.80	60	90	120	-152.365733596046
2.80	60	90	150	-152.337401615108
2.80	60	90	180	-152.289133610812
2.80	90	0	0	-150.973809094256
2.80	90	0	30	-152.315133432384
2.80	90	0	60	-152.363125073583
2.80	90	0	90	-152.259330952131
2.80	90	0	120	-152.363125074139
2.80	90	0	150	-152.315133431318
2.80	90	0	180	-150.973809094898
2.80	90	30	0	-151.593907081289
2.80	90	30	30	-152.321281922186
2.80	90	30	60	-152.363917287678
2.80	90	30	90	-152.259645483304
2.80	90	30	120	-152.363917287141
2.80	90	30	150	-152.321281922044
2.80	90	30	180	-151.59390708182
2.80	90	60	0	-152.147080550917
2.80	90	60	30	-152.331743490995
2.80	90	60	60	-152.365338785907
2.80	90	60	90	-152.260194954184
2.80	90	60	120	-152.365338786542
2.80	90	60	150	-152.331743490918
2.80	90	60	180	-152.147080551786
2.80	90	90	0	-152.289133610993
2.80	90	90	30	-152.33643017132
2.80	90	90	60	-152.36598137378
2.80	90	90	90	-152.260427319265
2.80	90	90	120	-152.365981373629
2.80	90	90	150	-152.336430171462
2.80	90	90	180	-152.289133610812
2.90	0	0	0	-151.540324983977
2.90	0	0	30	-152.322678490403
2.90	0	0	60	-152.364987567495
