	0	1	2
99	4.9000000000	5.0000000000	-7.7579262340
548	4.8000000000	35.0000000000	-7.7458162798
174	4.9000000000	10.0000000000	-7.6902764679
536	3.6000000000	35.0000000000	-7.6407294152
1146	4.6000000000	75.0000000000	-7.6112372903
847	4.7000000000	55.0000000000	-7.5923655443
249	4.9000000000	15.0000000000	-7.5809030440
623	4.8000000000	40.0000000000	-7.4884728400
1221	4.6000000000	80.0000000000	-7.4817204829
324	4.9000000000	20.0000000000	-7.4345755772
985	3.5000000000	65.0000000000	-7.4302973580
1296	4.6000000000	85.0000000000	-7.4028118915
1371	4.6000000000	90.0000000000	-7.3763213050
922	4.7000000000	60.0000000000	-7.3363525586
399	4.9000000000	25.0000000000	-7.2574501146
698	4.8000000000	45.0000000000	-7.2257309796
997	4.7000000000	65.0000000000	-7.1085710327
474	4.9000000000	30.0000000000	-7.0607277598
773	4.8000000000	50.0000000000	-6.9692895820
1072	4.7000000000	70.0000000000	-6.9143480572
25	5.0000000000	0.0000000000	-6.8452776346
549	4.9000000000	35.0000000000	-6.8434224155
100	5.0000000000	5.0000000000	-6.8257446147
175	5.0000000000	10.0000000000	-6.7679922768
1147	4.7000000000	75.0000000000	-6.7583391256
848	4.8000000000	55.0000000000	-6.7259091134
461	3.6000000000	30.0000000000	-6.7246245323
250	5.0000000000	15.0000000000	-6.6788337815
1222	4.7000000000	80.0000000000	-6.6442573115
624	4.9000000000	40.0000000000	-6.6172748803
1297	4.7000000000	85.0000000000	-6.5747606694
325	5.0000000000	20.0000000000	-6.5535925609
1372	4.7000000000	90.0000000000	-6.5514217381
910	3.5000000000	60.0000000000	-6.5326044203
923	4.8000000000	60.0000000000	-6.5016582790
400	5.0000000000	25.0000000000	-6.4017106306
699	4.9000000000	45.0000000000	-6.3893877882
998	4.8000000000	65.0000000000	-6.3020294224
475	5.0000000000	30.0000000000	-6.2290558653
774	4.9000000000	50.0000000000	-6.1663739089
1073	4.8000000000	70.0000000000	-6.1318294796
550	5.0000000000	35.0000000000	-6.0418797793
26	5.1000000000	0.0000000000	-6.0298468625
101	5.1000000000	5.0000000000	-6.0131459423
1148	4.8000000000	75.0000000000	-5.9951808420
176	5.1000000000	10.0000000000	-5.9637612950
849	4.9000000000	55.0000000000	-5.9543219117
1223	4.8000000000	80.0000000000	-5.8952408787
251	5.1000000000	15.0000000000	-5.8838005415
386	3.6000000000	25.0000000000	-5.8664956265
625	5.0000000000	40.0000000000	-5.8465352862
1298	4.8000000000	85.0000000000	-5.8343298650
1373	4.8000000000	90.0000000000	-5.8138697798
326	5.1000000000	20.0000000000	-5.7765463628
924	4.9000000000	60.0000000000	-5.7587381910
700	5.0000000000	45.0000000000	-5.6491738237
401	5.1000000000	25.0000000000	-5.6462517399
999	4.9000000000	65.0000000000	-5.5845841942
476	5.1000000000	30.0000000000	-5.4978293866
775	5.0000000000	50.0000000000	-5.4556347311
1074	4.9000000000	70.0000000000	-5.4361023662
551	5.1000000000	35.0000000000	-5.3365482354
1149	4.9000000000	75.0000000000	-5.3168442393
27	5.2000000000	0.0000000000	-5.3137869596
102	5.2000000000	5.0000000000	-5.2994930177
850	5.0000000000	55.0000000000	-5.2713594391
177	5.2000000000	10.0000000000	-5.2572022308
1224	4.9000000000	80.0000000000	-5.2295736650
