R,theta,E_cm
8.6,40.0,-0.3456315001053865
8.8,40.0,-0.31632505404038014
9.0,40.0,-0.29082012798577095
9.5,40.0,-0.2404489437888418
10.0,40.0,-0.203675969803587
10.5,40.0,-0.1762379077731215
11.0,40.0,-0.15521531251635182
11.5,40.0,-0.1388291165703592
12.0,40.0,-0.12559150365395583
12.5,40.0,-0.11487258250158731
13.0,40.0,-0.10596410828719044
13.5,40.0,-0.09842669038697195
14.0,40.0,-0.0920239581721313
14.5,40.0,-0.08640123718042858
15.0,40.0,-0.08147929743425024
16.0,40.0,-0.07330979566625473
17.0,40.0,-0.06665181086833755
18.0,40.0,-0.06106201321811767
19.0,40.0,-0.05644163269114657
20.0,40.0,-0.05237235322012964
21.0,40.0,-0.04876419078411942
22.0,40.0,-0.045630313472140215
23.0,40.0,-0.04274422204377658
24.0,40.0,-0.04023672409108897
25.0,40.0,-0.03802485940565546
50.0,40.0,-0.012208936273623152
100.0,40.0,0.0
2.5,45.0,1422.0061521168086
2.6,45.0,1008.4091449404851
2.7,45.0,694.4717086662309
2.8,45.0,465.7282361873203
2.9,45.0,303.67980198843753
3.0,45.0,187.4753072978121
3.1,45.0,109.0742700704479
3.2,45.0,56.555267794528845
3.3,45.0,22.674209341190267
3.4,45.0,2.1836882903356707
3.5,45.0,-12.025715102430484
3.6,45.0,-18.568150012727052
3.7,45.0,-21.076429866704572
3.8,45.0,-22.176713688706176
3.9,45.0,-21.360690773679032
4.0,45.0,-19.91338924977224
4.1,45.0,-17.507876194132656
4.2,45.0,-15.70578229713671
4.3,45.0,-13.951025347229422
4.4,45.0,-12.3123777197585
4.5,45.0,-10.824527379941546
4.6,45.0,-9.498362684372962
4.7,45.0,-8.334428583594354
4.8,45.0,-7.316174941758411
4.9,45.0,-6.4298406941370185
5.0,45.0,-5.666364174419946
5.1,45.0,-5.007395547627397
5.2,45.0,-4.43888361130471
5.3,45.0,-3.9478225133974467
5.4,45.0,-3.522939820770517
5.5,45.0,-3.154209056638355
5.6,45.0,-2.833288863507402
5.7,45.0,-2.5528266227296377
5.8,45.0,-2.3069546812434463
5.9,45.0,-2.090601637437626
6.0,45.0,-1.9003860495600498
6.2,45.0,-1.581329415491179
6.4,45.0,-1.3305039302213668
6.6,45.0,-1.1300292189223884
6.8,45.0,-0.9684519977623088
7.0,45.0,-0.8371229874273179
7.2,45.0,-0.7294245931604421
7.4,45.0,-0.6407048272783454
7.6,45.0,-0.5664760911237944
7.8,45.0,-0.5043066110532963
8.0,45.0,-0.45174726597874626
8.2,45.0,-0.40709054274759865
8.4,45.0,-0.36887386651506404
8.6,45.0,-0.3359991989302117
8.8,45.0,-0.30767511975293277
9.0,45.0,-0.2830164882535185
9.5,45.0,-0.23426919578923178
10.0,45.0,-0.19881658315865722
10.5,45.0,-0.17221033140924433
11.0,45.0,-0.15191792571429702
11.5,45.0,-0.1360466170199807
12.0,45.0,-0.123337720655759
12.5,45.0,-0.11293374513616769
13.0,45.0,-0.10428929703266007
13.5,45.0,-0.09697376860602192
14.0,45.0,-0.09069438040270285
14.5,45.0,-0.08530759650963148
15.0,45.0,-0.08049495626884579
16.0,45.0,-0.0724514308826079
17.0,45.0,-0.06598834128766341
18.0,45.0,-0.060509377652499835
19.0,45.0,-0.055995442817217626
20.0,45.0,-0.051918481441116174
21.0,45.0,-0.048476239421949854
22.0,45.0,-0.045309220443942165
23.0,45.0,-0.04257632423033357
24.0,45.0,-0.04008309222724265
25.0,45.0,-0.037851472289350596
50.0,45.0,-0.01217689246816704
100.0,45.0,0.0
2.5,50.0,1298.6064830189869
2.6,50.0,908.3220047624493
2.7,50.0,620.0899682778806
2.8,50.0,412.9021191122379
2.9,50.0,264.20997593384755
3.0,50.0,161.8478951785294
3.1,50.0,91.81923830846411
3.2,50.0,46.459053367777614
3.3,50.0,16.70319067626862
3.4,50.0,-3.467657893757679
3.5,50.0,-13.833293452364455
3.6,50.0,-19.234802444027675
3.7,50.0,-21.49781457281799
3.8,50.0,-21.62790574535763
3.9,50.0,-20.71170275680393
4.0,50.0,-19.212254499381398
4.1,50.0,-16.86306829074363
4.2,50.0,-15.103693377473983
4.3,50.0,-13.407654009435266
4.4,50.0,-11.832179082035598
4.5,50.0,-10.405502905636938
4.6,50.0,-9.138654737257593
4.7,50.0,-8.02133485446744
4.8,50.0,-7.043391240748246
4.9,50.0,-6.197339587204981
5.0,50.0,-5.465529745361723
5.1,50.0,-4.833484071904495
5.2,50.0,-4.2877531603940895
5.3,50.0,-3.815899825601179
5.4,50.0,-3.4073851144152916
5.5,50.0,-3.0522472895164876
5.6,50.0,-2.74303826205186
5.7,50.0,-2.4724837638149744
5.8,50.0,-2.235373909935327
5.9,50.0,-2.026308960517524
6.0,50.0,-1.8423312791795945
6.2,50.0,-1.534367113322842
6.4,50.0,-1.291964186682957
6.6,50.0,-1.0974293377296034
6.8,50.0,-0.941202904982863
7.0,50.0,-0.8136855106090441
7.2,50.0,-0.7092101012579903
7.4,50.0,-0.6228191814718044
7.6,50.0,-0.5505565015156704
7.8,50.0,-0.4901842971751975
8.0,50.0,-0.4390954302939892
8.2,50.0,-0.3957204405675536
8.4,50.0,-0.3586801468896924
8.6,50.0,-0.3268543509680922
8.8,50.0,-0.2993401310982625
9.0,50.0,-0.27553328033798297
9.5,50.0,-0.22838793487057957
10.0,50.0,-0.19401206147204733
