      R       THETA       E_CP
    5.2000   10.0000   -78.703930243962
    5.2000   15.0000   -78.703929798799
    5.2000   20.0000   -78.703929206836
    5.2000   25.0000   -78.703928532706
    5.2000   30.0000   -78.703927799013
    5.2000   35.0000   -78.703927036623
    5.2000   40.0000   -78.703926276003
    5.2000   45.0000   -78.703925541117
    5.2000   50.0000   -78.703924852207
    5.2000   55.0000   -78.703924226484
    5.2000   60.0000   -78.703923674387
    5.2000   65.0000   -78.703923202598
    5.2000   70.0000   -78.703922816721
    5.2000   75.0000   -78.703922520932
    5.2000   80.0000   -78.703922312798
    5.2000   85.0000   -78.703922188698
    5.2000   90.0000   -78.703922148355
    5.3000   0.0000   -78.703927750990
    5.3000   5.0000   -78.703927653345
    5.3000   10.0000   -78.703927408896
    5.3000   15.0000   -78.703927021458
    5.3000   20.0000   -78.703926517147
    5.3000   25.0000   -78.703925926815
    5.3000   30.0000   -78.703925282667
    5.3000   35.0000   -78.703924614518
    5.3000   40.0000   -78.703923947032
    5.3000   45.0000   -78.703923303678
    5.3000   50.0000   -78.703922702285
    5.3000   55.0000   -78.703922157441
    5.3000   60.0000   -78.703921675687
    5.3000   65.0000   -78.703921264635
    5.3000   70.0000   -78.703920929637
    5.3000   75.0000   -78.703920673130
    5.3000   80.0000   -78.703920492241
    5.3000   85.0000   -78.703920384584
    5.3000   90.0000   -78.703920349361
    5.4000   0.0000   -78.703925269438
    5.4000   5.0000   -78.703925183075
    5.4000   10.0000   -78.703924970256
    5.4000   15.0000   -78.703924632394
    5.4000   20.0000   -78.703924191242
    5.4000   25.0000   -78.703923673731
    5.4000   30.0000   -78.703923107668
    5.4000   35.0000   -78.703922519257
    5.4000   40.0000   -78.703921932726
    5.4000   45.0000   -78.703921367770
    5.4000   50.0000   -78.703920840955
    5.4000   55.0000   -78.703920362014
    5.4000   60.0000   -78.703919939621
    5.4000   65.0000   -78.703919580776
    5.4000   70.0000   -78.703919288706
    5.4000   75.0000   -78.703919065239
    5.4000   80.0000   -78.703918905932
    5.4000   85.0000   -78.703918813995
    5.4000   90.0000   -78.703918782559
    5.5000   0.0000   -78.703923118920
    5.5000   5.0000   -78.703923042123
    5.5000   10.0000   -78.703922856824
    5.5000   15.0000   -78.703922561164
    5.5000   20.0000   -78.703922174658
    5.5000   25.0000   -78.703921720741
    5.5000   30.0000   -78.703921221129
    5.5000   35.0000   -78.703920703296
    5.5000   40.0000   -78.703920185871
    5.5000   45.0000   -78.703919687709
    5.5000   50.0000   -78.703919222828
    5.5000   55.0000   -78.703918800631
    5.5000   60.0000   -78.703918428365
    5.5000   65.0000   -78.703918113184
    5.5000   70.0000   -78.703917857395
    5.5000   75.0000   -78.703917660900
    5.5000   80.0000   -78.703917522999
    5.5000   85.0000   -78.703917441169
    5.5000   90.0000   -78.703917414640
    5.6000   0.0000   -78.703921253025
    5.6000   5.0000   -78.703921184916
    5.6000   10.0000   -78.703921022403
    5.6000   15.0000   -78.703920763690
    5.6000   20.0000   -78.703920424277
    5.6000   25.0000   -78.703920021458
    5.6000   30.0000   -78.703919581166
    5.6000   35.0000   -78.703919122810
    5.6000   40.0000   -78.703918665632
    5.6000   45.0000   -78.703918225489
    5.6000   50.0000   -78.703917813968
    5.6000   55.0000   -78.703917439222
    5.6000   60.0000   -78.703917110228
    5.6000   65.0000   -78.703916832119
    5.6000   70.0000   -78.703916607006
    5.6000   75.0000   -78.703916433819
    5.6000   80.0000   -78.703916312314
    5.6000   85.0000   -78.703916241052
    5.6000   90.0000   -78.703916216716
    5.7000   0.0000   -78.703919612186
    5.7000   5.0000   -78.703919563525
    5.7000   10.0000   -78.703919422722
    5.7000   15.0000   -78.703919195073
    5.7000   20.0000   -78.703918894428
    5.7000   25.0000   -78.703918541154
    5.7000   30.0000   -78.703918151655
    5.7000   35.0000   -78.703917745532
    5.7000   40.0000   -78.703917339541
    5.7000   45.0000   -78.703916947609
    5.7000   50.0000   -78.703916581231
    5.7000   55.0000   -78.703916248162
    5.7000   60.0000   -78.703915956421
    5.7000   65.0000   -78.703915709694
    5.7000   70.0000   -78.703915509534
    5.7000   75.0000   -78.703915356688
    5.7000   80.0000   -78.703915249885
