R,theta,E3_cm
7.2,35.0,-0.6163067099835577
7.4,35.0,-0.5172797549718751
7.6,35.0,-0.43635945882320915
7.8,35.0,-0.3700342271670094
8.0,35.0,-0.3153630973787482
8.2,35.0,-0.27001963740820517
8.4,35.0,-0.23207247347049959
8.6,35.0,-0.20009501996273002
8.8,35.0,-0.17294601027392859
9.0,35.0,-0.14981338313765705
9.5,35.0,-0.10569898119680673
10.0,35.0,-0.07589432787541114
10.5,35.0,-0.05557097623558008
11.0,35.0,-0.041480706162937364
11.5,35.0,-0.031450714352186965
12.0,35.0,-0.024186105447436716
12.5,35.0,-0.018830922472886015
13.0,35.0,-0.014814536801434032
13.5,35.0,-0.011763841141344501
14.0,35.0,-0.00943740909112421
14.5,35.0,-0.007615771460727388
15.0,35.0,-0.006189185857825947
16.0,35.0,-0.0041919653899795154
17.0,35.0,-0.0028970669151652828
18.0,35.0,-0.002041113058286754
19.0,35.0,-0.0014704813122638426
20.0,35.0,-0.0010754261658463805
21.0,35.0,-0.0007901102928349246
22.0,35.0,-0.0005925827196261935
23.0,35.0,-0.00046089871046106623
24.0,35.0,-0.0003511594370550597
25.0,35.0,-0.0002853189919335364
50.0,35.0,0.0
100.0,35.0,0.0
2.5,40.0,1591.2332724695732
2.6,40.0,1136.2466281493976
2.7,40.0,790.5259112186359
2.8,40.0,536.7689489581604
2.9,40.0,355.98091446214426
3.0,40.0,227.22972215477375
3.1,40.0,139.9138475661569
3.2,40.0,79.58283963274258
3.3,40.0,40.12472496214348
3.4,40.0,14.778038894543831
3.5,40.0,-1.2390659707243494
3.6,40.0,-10.433823909557045
3.7,40.0,-15.40325627446293
3.8,40.0,-17.68456336703688
3.9,40.0,-18.634054511151344
4.0,40.0,-18.0767645313288
4.1,40.0,-16.98720467689549
4.2,40.0,-15.630039408522922
4.3,40.0,-14.17564687803331
4.4,40.0,-12.728562852157811
4.5,40.0,-11.35010854213405
4.6,40.0,-10.07340267431861
4.7,40.0,-8.913347567574883
4.8,40.0,-7.870426074705854
4.9,40.0,-6.946350094068517
5.0,40.0,-6.131243265715965
5.1,40.0,-5.417511766042154
5.2,40.0,-4.7910214355029215
5.3,40.0,-4.2420495428962885
5.4,40.0,-3.765043383912339
5.5,40.0,-3.349117012883445
5.6,40.0,-2.986084026602856
5.7,40.0,-2.668482288592612
5.8,40.0,-2.389705613112712
5.9,40.0,-2.1441573970249546
6.0,40.0,-1.9271628314931415
6.2,40.0,-1.564217636631277
6.4,40.0,-1.2773862419537914
6.6,40.0,-1.0495496295826336
6.8,40.0,-0.867517369654636
7.0,40.0,-0.721040001169002
7.2,40.0,-0.6023700686558392
7.4,40.0,-0.5057573371131017
7.6,40.0,-0.4267684178682386
7.8,40.0,-0.361957560114743
8.0,40.0,-0.3084935405014933
8.2,40.0,-0.26407187483295036
8.4,40.0,-0.22691482118807968
8.6,40.0,-0.19559579084505785
8.8,40.0,-0.16903936075696052
9.0,40.0,-0.14645542063095277
9.5,40.0,-0.10343839271063004
10.0,40.0,-0.0744018987084661
10.5,40.0,-0.0545613936337773
11.0,40.0,-0.040778387288827246
11.5,40.0,-0.030945923051285577
12.0,40.0,-0.023812998155700454
12.5,40.0,-0.01854560659987456
13.0,40.0,-0.014595064492466179
13.5,40.0,-0.01158826142281697
14.0,40.0,-0.00928377722727788
14.5,40.0,-0.007506032187321381
15.0,40.0,-0.006101394439101142
17.0,40.0,-0.00285317120580288
18.0,40.0,-0.0020191683225276335
19.0,40.0,-0.0014485334575826414
20.0,40.0,-0.0010534783111651792
21.0,40.0,-0.0007901102928349246
22.0,40.0,-0.0005925827196261935
23.0,40.0,-0.00046089871046106623
24.0,40.0,-0.0003511594370550597
25.0,40.0,-0.0002633711372523351
50.0,40.0,0.0
100.0,40.0,0.0
2.5,45.0,1460.064523220527
2.6,45.0,1031.640234943521
2.7,45.0,712.2790356040334
2.8,45.0,481.59390487557874
2.9,45.0,316.76606547129205
3.0,45.0,201.49695826517598
3.1,45.0,121.06611255627108
3.2,45.0,68.01751426699774
3.3,45.0,33.34930171314529
3.4,45.0,10.490228888675901
3.5,45.0,-3.2980672136202185
3.6,45.0,-11.301516858930208
3.7,45.0,-15.589480496661984
3.8,45.0,-17.6318455620071
3.9,45.0,-18.16764897572417
4.0,45.0,-17.522174087729283
4.1,45.0,-16.417338800903003
4.2,45.0,-15.080826092633718
4.3,45.0,-13.665324468238493
4.4,45.0,-12.265098276236241
4.5,45.0,-10.935608756708056
4.6,45.0,-9.706726409658305
4.7,45.0,-8.588810432242262
4.8,45.0,-7.589498546894261
4.9,45.0,-6.7026893591752
5.0,45.0,-5.9226545756998705
5.1,45.0,-5.235852616524815
5.2,45.0,-4.632648541866778
5.3,45.0,-4.107292119842636
5.4,45.0,-3.6486559877400344
5.5,45.0,-3.248180628822641
5.6,45.0,-2.8979649619945613
5.7,45.0,-2.5910296911051343
5.8,45.0,-2.3212514769795005
5.9,45.0,-2.083406820652274
6.0,45.0,-1.8732159684336716
6.2,45.0,-1.521749295721218
6.4,45.0,-1.2440260985524827
6.6,45.0,-1.023168779213064
6.8,45.0,-0.8463600151315296
7.0,45.0,-0.7038112440175449
7.2,45.0,-0.588213955019153
7.4,45.0,-0.49403739168111954
7.6,45.0,-0.4170017971947405
7.8,45.0,-0.35372726119863035
8.0,45.0,-0.3014484039057109
8.2,45.0,-0.2579924282485304
8.4,45.0,-0.2216254817775726
8.6,45.0,-0.1909868224539797
8.8,45.0,-0.16504492294018974
9.0,45.0,-0.1430096698244458
9.5,45.0,-0.10113390851509095
10.0,45.0,-0.07286557695108073
10.5,45.0,-0.05352986317729332
11.0,45.0,-0.040054120560035926
11.5,45.0,-0.030419183895702986
12.0,45.0,-0.023417943009282995
12.5,45.0,-0.018238342872181904
13.0,45.0,-0.014353641209895046
13.5,45.0,-0.01141268170428944
14.0,45.0,-0.009152093218112754
14.5,45.0,-0.007396296032837455
15.0,45.0,-0.006013606139298418
16.0,45.0,-0.004060281380814388
17.0,45.0,-0.0028092754964404777
18.0,45.0,-0.0019972204678464322
19.0,45.0,-0.00142658560290144
20.0,45.0,-0.0010534783111651792
21.0,45.0,-0.0007681624381537233
22.0,45.0,-0.0005925827196261935
23.0,45.0,-0.00043895085577986496
24.0,45.0,-0.0003511594370550597
25.0,45.0,-0.0002633711372523351
50.0,45.0,0.0
100.0,45.0,0.0
2.5,50.0,1331.7420526589021
2.6,50.0,930.5475427778762
2.7,50.0,637.779469824891
2.8,50.0,428.20286031968294
2.9,50.0,278.4748096207499
3.0,50.0,175.52540597709427
3.1,50.0,104.59405872987045
3.2,50.0,57.44921825026005
3.3,50.0,26.564836107083465
3.4,50.0,6.72441734544433
3.5,50.0,-5.222113505889227
3.6,50.0,-12.16662000823482
3.7,50.0,-15.958900193254687
3.8,50.0,-17.67637696383013
3.9,50.0,-17.734208528551886
4.0,50.0,-17.007462184971278
4.1,50.0,-15.885025033701803
4.2,50.0,-14.564994871119426
4.3,50.0,-13.184170236455005
4.4,50.0,-11.827136652091603
4.5,50.0,-10.543473435980182
4.6,50.0,-9.359627282054358
4.7,50.0,-8.28380654137556
4.8,50.0,-7.323517243012189
4.9,50.0,-6.471736204460988
5.0,50.0,-5.722625399301184
5.1,50.0,-5.061084968620489
5.2,50.0,-4.483537480722153
5.3,50.0,-3.978592198637646
5.4,50.0,-3.5373165076956656
5.5,50.0,-3.151414265416057
5.6,50.0,-2.8133574917568174
5.7,50.0,-2.5165619519515467
5.8,50.0,-2.2553651930601584
5.9,50.0,-2.025004621065572
6.0,50.0,-1.82137605887761
6.2,50.0,-1.480992856287072
6.4,50.0,-1.2119389088902293
6.6,50.0,-0.9976658274361317
6.8,50.0,-0.8257732954733683
7.0,50.0,-0.6869994867482645
7.2,50.0,-0.5743651082290814
7.4,50.0,-0.48255886953170857
7.6,50.0,-0.40741075623976997
7.8,50.0,-0.3456067015559236
8.0,50.0,-0.29449105872865333
8.2,50.0,-0.25197882210923195
8.4,50.0,-0.2163800380764279
8.6,50.0,-0.1864217497722639
8.8,50.0,-0.1610943777138593
9.0,50.0,-0.13960781160837912
9.5,50.0,-0.09885137529315514
10.0,50.0,-0.07135120304837657
10.5,50.0,-0.05252028057549055
11.0,50.0,-0.039329853831244606
