R,phi,th2,th1,E_cm
5.8,0.0,30.0,0.0,-2.967264734590408
5.9,0.0,30.0,0.0,-2.489919483278934
6.0,0.0,30.0,0.0,-2.0847311274433857
6.2,0.0,30.0,0.0,-1.4487061616550105
6.4,0.0,30.0,0.0,-0.9899771885988352
6.6,0.0,30.0,0.0,-0.658916609410089
6.8,0.0,30.0,0.0,-0.4200178166791379
7.0,0.0,30.0,0.0,-0.24782987289258812
7.2,0.0,30.0,0.0,-0.12407756640034294
7.4,0.0,30.0,0.0,-0.03561370807495976
7.6,0.0,30.0,0.0,0.02705485878795429
7.8,0.0,30.0,0.0,0.0708064677123889
8.0,0.0,30.0,0.0,0.10065589627917362
8.2,0.0,30.0,0.0,0.12028438950651137
8.4,0.0,30.0,0.0,0.13241036245279048
8.6,0.0,30.0,0.0,0.13905429962565663
8.8,0.0,30.0,0.0,0.14171718539532194
9.0,0.0,30.0,0.0,0.14151855996154084
9.5,0.0,30.0,0.0,0.13345637718341677
10.0,0.0,30.0,0.0,0.12031862591419014
10.5,0.0,30.0,0.0,0.1020482423554742
11.0,0.0,30.0,0.0,0.08845420214262163
11.5,0.0,30.0,0.0,0.07620115495401251
12.0,0.0,30.0,0.0,0.06549869235346335
12.5,0.0,30.0,0.0,0.056314998216829934
13.0,0.0,30.0,0.0,0.0485054325326243
13.5,0.0,30.0,0.0,0.04188761321326112
14.0,0.0,30.0,0.0,0.03627959793916844
14.5,0.0,30.0,0.0,0.031517437452257296
15.0,0.0,30.0,0.0,0.027461984162823683
16.0,0.0,30.0,0.0,0.021021500515119414
17.0,0.0,30.0,0.0,0.016259779796221636
18.0,0.0,30.0,0.0,0.012701217578059244
19.0,0.0,30.0,0.0,0.010017481814285105
20.0,0.0,30.0,0.0,0.007974612802866972
21.0,0.0,30.0,0.0,0.006405367703998763
22.0,0.0,30.0,0.0,0.0051881615782123445
23.0,0.0,30.0,0.0,0.004236300867355282
24.0,0.0,30.0,0.0,0.0034839420073839735
25.0,0.0,30.0,0.0,0.002886531196377007
50.0,0.0,30.0,0.0,0.00011939545616755253
100.0,0.0,30.0,0.0,0.0
2.7,30.0,30.0,0.0,573.4235021691114
2.8,30.0,30.0,0.0,550.4394049639468
2.9,30.0,30.0,0.0,470.4462862613919
